City,Country,Latitude,Long,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
Grand-Santi,GF,4.27,-54.38,84.66,74,76,2.71
Koson,UZ,39.04,65.59,42.8,93,90,2.24
Severo-Kurilsk,RU,50.68,156.12,40.29,94,56,14.67
Cabo San Lucas,MX,22.89,-109.91,78.8,61,75,3.36
Chuy,UY,-33.69,-53.46,73.14,73,8,22.06
Mar del Plata,AR,-46.43,-67.52,73.63,37,0,8.63
Roald,NO,62.58,6.12,35.6,64,75,12.75
Pisco,PE,-13.71,-76.2,71.6,30,0,12.75
Smoky Lake,CA,54.11,-112.47,19.14,84,76,4.94
Georgetown,SH,-7.93,-14.42,76.24,100,36,16.24
Cidreira,BR,-30.17,-50.22,74.22,74,12,19.26
Tuatapere,NZ,-46.13,167.69,47.26,100,0,5.73
Namibe,AO,-15.19,12.15,72.06,100,0,12.77
Kyren,RU,51.68,102.13,-8.45,68,44,2.15
Pacific Grove,US,36.62,-121.92,59.0,75,75,3.36
Oranjemund,NA,-28.55,16.43,60.67,94,44,22.28
Vao,NC,-22.67,167.48,74.94,100,12,8.08
Kimberley,ZA,-28.74,24.76,80.6,90,0,14.99
Nouadhibou,MR,20.93,-17.03,69.8,73,0,17.22
East London,ZA,-33.02,27.91,59.0,93,90,17.22
Paamiut,GL,61.99,-49.67,33.54,93,0,7.18
Osinovo,RU,62.87,42.79,5.68,75,0,5.17
Meulaboh,ID,4.14,96.13,78.81,100,44,3.38
Saint-Philippe,RE,-21.36,55.77,75.2,78,0,3.36
Anzio,IT,41.45,12.63,55.4,71,40,10.29
Tabuk,SA,28.38,36.58,60.8,44,75,6.93
Evensk,RU,61.92,159.24,-2.51,100,24,12.66
Great Bend,US,38.36,-98.78,28.94,92,90,9.17
Bonthe,SL,7.53,-12.5,86.68,67,32,3.71
Ternate,ID,0.8,127.4,84.07,100,12,6.96
Grindavik,IS,63.84,-22.43,37.4,74,75,16.11
Grand Gaube,MU,-20.01,57.66,71.6,94,75,8.05
Sinazongwe,ZM,-17.26,27.46,71.56,98,92,3.38
Axim,GH,4.87,-2.24,83.17,100,8,8.63
Pringsewu,ID,-5.36,104.98,74.22,96,48,2.15
Russell,NZ,-35.26,174.12,57.97,93,24,10.98
Muisne,EC,0.61,-80.02,82.4,74,90,5.82
Clyde River,CA,70.47,-68.59,-0.41,91,90,13.87
Yar-Sale,RU,66.83,70.83,-9.44,86,68,9.53
Basco,PH,20.45,121.97,78.72,100,48,15.01
Igarka,RU,67.47,86.57,-20.96,31,12,7.63
Noumea,NC,-22.28,166.46,60.8,82,0,2.24
Sorland,NO,67.67,12.69,39.2,86,75,29.97
Manglaur,IN,29.79,77.88,56.94,88,68,2.71
Port Augusta,AU,-32.49,137.76,59.0,72,75,13.87
Mamallapuram,IN,12.63,80.17,75.2,83,20,3.36
Aswan,EG,24.09,32.9,62.16,78,0,4.16
Novo Aripuana,BR,-5.12,-60.38,77.91,93,92,3.04
Kaitangata,NZ,-46.28,169.85,51.76,88,48,18.03
Odienne,CI,9.51,-7.57,89.29,34,0,6.96
Lorengau,PG,-2.02,147.27,84.21,98,48,12.44
Hanyang,CN,32.14,105.51,35.11,86,88,2.04
Jijiga,ET,9.35,42.8,56.17,62,0,3.04
Marsa Matruh,EG,31.35,27.25,64.4,63,0,7.63
Amapa,BR,-1.83,-56.23,84.97,74,44,2.93
Moussoro,TD,13.64,16.49,74.94,21,0,7.52
Coihaique,CL,-45.58,-72.07,63.87,50,0,2.59
Warmbad,NA,-28.45,18.73,66.79,32,0,16.8
Huarmey,PE,-10.07,-78.15,75.16,55,0,4.05
Najran,SA,17.54,44.22,68.0,60,0,6.93
Eenhana,NA,-17.48,16.34,84.21,37,24,5.95
Ryotsu,JP,38.08,138.43,61.44,95,36,21.83
Ostersund,SE,63.18,14.64,23.0,92,0,5.82
Ferme-Neuve,CA,46.7,-75.45,33.72,79,92,5.95
Salalah,OM,17.01,54.1,82.4,78,20,5.06
Avare,BR,-23.1,-48.93,81.96,57,32,10.98
Hauterive,CA,49.18,-68.27,33.8,86,90,18.34
Hami,CN,42.84,93.51,15.54,60,76,3.71
Erdaojiang,CN,41.78,126.03,7.48,36,0,3.71
Bathsheba,BB,13.22,-59.52,86.0,66,20,20.8
Nguru,NG,12.88,10.45,77.68,26,0,6.73
Lucapa,AO,-8.42,20.74,75.21,77,8,5.17
Lebu,CL,-37.62,-73.65,55.86,92,0,20.49
Lodwar,KE,3.12,35.6,82.54,52,44,11.99
Tiksi,RU,71.64,128.87,-21.5,31,44,7.07
Villamontes,BO,-21.26,-63.47,91.4,52,40,4.5
Dwarka,IN,28.58,77.04,68.0,60,40,3.36
Ahipara,NZ,-35.17,173.16,59.23,98,36,11.43
Warrington,US,40.25,-75.13,42.08,52,90,17.22
Formosa,AR,-26.19,-58.17,87.8,62,75,9.17
Bayan,KW,29.3,48.05,62.6,77,0,4.7
Suraabad,AZ,40.82,49.47,53.6,76,0,23.04
Pirajui,BR,-22.0,-49.46,86.0,54,40,11.41
Saint-Leu,RE,-21.15,55.28,75.2,78,0,3.36
Lagoa,PT,37.14,-8.45,57.2,82,0,4.7
Linhares,BR,-19.38,-40.06,78.94,69,68,9.98
Guabito,PA,9.5,-82.61,82.4,74,75,8.05
Ambulu,ID,-8.35,113.61,76.87,100,80,1.36
Kruisfontein,ZA,-34.0,24.73,57.07,100,92,17.47
Nileshwar,IN,12.25,75.1,82.72,100,0,2.59
Biltine,TD,14.53,20.93,70.57,27,0,6.62
Aykhal,RU,65.95,111.51,-29.87,0,24,2.71
Takoradi,GH,4.89,-1.75,83.22,99,0,7.74
Haveli,PK,33.47,72.12,55.36,75,92,2.48
Mehran,IR,33.12,46.17,39.2,93,0,4.7
Flinders,AU,-34.58,150.85,64.4,100,75,6.93
Azangaro,PE,-14.91,-70.2,59.0,47,40,6.93
Mount Gambier,AU,-37.83,140.78,55.4,93,90,11.41
Isangel,VU,-19.55,169.27,77.95,100,56,5.95
Upala,CR,10.9,-85.02,89.6,55,75,6.93
Kavaratti,IN,10.57,72.64,83.67,100,0,3.49
Morehead,PG,-8.71,141.64,80.92,86,44,5.61
Butaritari,KI,3.07,172.79,83.44,100,0,6.06
Algiers,DZ,36.75,3.04,57.2,67,20,5.82
Dillon,US,45.22,-112.64,37.94,56,40,18.34
Ukiah,US,39.15,-123.21,50.0,92,90,5.82
Carutapera,BR,-1.2,-46.02,84.34,79,44,9.75
Weihe,CN,32.99,105.33,26.16,73,12,1.59
Muravlenko,RU,63.79,74.5,-8.27,64,76,7.96
Half Moon Bay,US,37.46,-122.43,57.02,86,1,5.95
Evanston,US,42.04,-87.69,24.08,64,75,9.17
Icod de los Vinos,ES,28.37,-16.71,69.8,73,75,14.99
Tonekabon,IR,36.82,50.88,51.8,87,0,2.59
Coquimbo,CL,-29.95,-71.34,63.69,91,0,3.38
Kudahuvadhoo,MV,2.67,72.89,78.67,100,80,9.75
Krasnoshchekovo,RU,51.67,82.73,12.16,60,44,7.18
Xinyu,CN,27.8,114.93,42.67,84,0,2.59
Macusani,PE,-14.07,-70.43,54.69,100,92,2.48
Fomboni,KM,-12.28,43.74,81.96,100,0,10.09
Arman,RU,59.7,150.17,-19.57,27,32,2.71
Kysyl-Syr,RU,63.9,122.77,-30.59,51,56,4.05
Cayenne,GF,4.94,-52.33,86.0,74,80,12.75
Shelburne,CA,44.08,-80.2,33.8,86,90,10.29
Sun Valley,US,43.7,-114.35,33.8,64,75,3.36
Waverley,NZ,-46.39,168.38,45.42,96,0,6.62
Maldonado,UY,-34.91,-54.96,75.2,50,90,14.99
Chicama,PE,-7.84,-79.15,71.6,73,20,13.87
Mopipi,BW,-21.2,24.86,80.92,53,12,7.63
Betafo,MG,-19.84,46.86,56.67,92,12,3.94
Mana,GF,5.67,-53.78,79.66,88,88,4.72
Peniche,PT,39.36,-9.38,55.4,81,0,3.36
Banjar,ID,-7.37,108.54,69.99,98,76,2.04
Lompoc,US,34.64,-120.46,64.04,76,1,3.36
Shipitsyno,RU,61.28,46.52,17.02,89,76,7.4
Luderitz,NA,-26.65,15.16,62.34,68,24,27.2
Skibbereen,IE,51.55,-9.27,48.2,81,75,11.41
Erice,IT,38.04,12.59,59.0,82,75,24.16
Comodoro Rivadavia,AR,-45.87,-67.48,69.8,49,20,3.36
Ucluelet,CA,48.94,-125.55,51.8,93,75,5.82
Catuday,PH,16.29,119.81,77.59,100,0,4.5
Hobyo,SO,5.35,48.53,80.34,86,100,10.76
Leningradskiy,RU,69.38,178.42,8.83,100,68,21.5
Bodden Town,KY,19.28,-81.25,84.2,79,20,5.82
Hasaki,JP,35.73,140.83,44.6,100,20,1.12
Soe,ID,-9.86,124.28,69.31,97,56,1.03
Katobu,ID,-4.94,122.53,79.57,100,12,2.37
Koumac,NC,-20.56,164.28,72.64,95,68,2.15
Kununurra,AU,-15.77,128.74,82.4,88,75,6.93
Birjand,IR,32.86,59.22,39.2,80,0,6.93
Plouzane,FR,48.38,-4.62,55.4,93,90,8.05
Ixtapa,MX,20.71,-105.21,82.4,58,75,1.48
Whitehorse,CA,60.72,-135.06,30.2,92,75,10.29
Ust-Kuyga,RU,70.0,135.55,-40.0,0,12,3.6
Sinnamary,GF,5.38,-52.96,75.84,100,92,10.54
Bismarck,US,46.81,-100.78,21.02,87,90,10.29
Severo-Yeniseyskiy,RU,60.37,93.04,-18.62,79,12,2.48
Khuzhir,RU,53.19,107.35,-0.04,100,12,4.05
Geraldton,AU,-28.77,114.6,59.0,67,0,10.29
Dalaba,GN,10.69,-12.25,83.04,31,0,6.96
Timbiqui,CO,2.77,-77.67,84.79,81,20,5.06
Jalu,LY,29.03,21.55,60.67,54,0,6.06
Kumluca,TR,36.37,30.29,41.68,93,88,1.59
Hwange,ZW,-18.35,26.5,74.62,66,92,3.71
Mahebourg,MU,-20.41,57.7,73.4,100,75,12.75
Champerico,GT,14.3,-91.92,91.4,46,20,4.7
Arraias,BR,-12.93,-46.94,79.62,90,64,9.19
Pangnirtung,CA,66.15,-65.72,17.6,85,75,5.95
Atar,MR,20.52,-13.05,83.22,21,0,7.74
Bousso,TD,10.48,16.71,80.52,28,0,5.39
Fukue,JP,35.03,136.69,51.8,87,20,4.7
Pontianak,ID,-0.02,109.34,79.62,97,68,5.06
Eyl,SO,7.98,49.82,79.66,95,92,18.03
Kapuskasing,CA,49.42,-82.43,17.6,85,90,9.17
Tarakan,ID,3.3,117.63,81.19,99,56,4.16
Dongli,CN,24.18,117.61,68.0,64,40,8.95
Zhangjiakou,CN,40.77,114.88,11.22,63,0,2.71
Padang,ID,-0.92,100.36,81.96,100,12,4.38
Damavand,IR,35.72,52.07,46.4,65,0,1.92
Gorom-Gorom,BF,14.45,-0.24,83.04,20,0,9.08
Ulaangom,MN,49.98,92.07,-8.81,53,24,1.59
Batagay,RU,67.65,134.64,-40.09,0,36,2.71
Namatanai,PG,-3.66,152.44,83.67,99,36,13.44
Kutum,SD,14.2,24.66,63.69,33,0,6.96
Awbari,LY,26.59,12.77,60.54,33,0,5.95
Nizwa,OM,22.93,57.53,62.02,72,0,4.05
Mbanza-Ngungu,CD,-5.25,14.87,74.26,87,0,1.7
Aklavik,CA,68.22,-135.01,5.0,84,90,4.7
Mirnyy,RU,56.57,36.46,23.19,95,76,6.96
Samdari,IN,25.81,72.58,68.91,44,88,8.08
Barinitas,VE,8.76,-70.41,78.99,61,12,2.93
Manuk Mangkaw,PH,4.8,119.85,85.11,97,0,2.15
Saint-Pierre,PM,46.77,-56.17,39.2,80,75,16.11
Linxia,CN,35.6,103.21,15.49,40,0,4.61
Hambantota,LK,6.12,81.12,77.64,100,92,8.52
Kidal,ML,18.44,1.41,77.37,29,20,4.16
Eldoret,KE,0.52,35.27,64.4,59,40,11.41
Te Anau,NZ,-45.41,167.72,41.77,90,20,2.37
Richards Bay,ZA,-28.77,32.06,86.19,52,20,9.08
Luis Moya,MX,22.43,-102.25,48.2,76,75,4.5
Ancud,CL,-41.87,-73.83,64.54,67,0,3.71
Skerries,IE,53.58,-6.11,44.6,87,75,5.82
Norrtalje,SE,59.76,18.7,23.0,85,0,4.7
Mao,TD,14.12,15.31,73.54,18,0,8.41
Vila Franca do Campo,PT,37.72,-25.43,68.0,88,40,25.28
Mozarlandia,BR,-14.74,-50.57,79.66,89,44,6.73
San Cristobal,EC,-1.02,-79.44,67.42,100,76,3.15
Canico,PT,32.63,-16.85,66.2,82,40,10.29
Zaruma,EC,-3.69,-79.61,80.6,69,75,3.36
Charyshskoye,RU,51.4,83.56,9.82,59,56,3.6
Zhuhai,CN,40.71,112.04,15.8,52,0,4.47
Hovd,MN,48.01,91.64,2.04,58,24,2.93
Broome,AU,-17.97,122.23,78.8,69,75,12.75
Mount Darwin,ZW,-16.77,31.58,76.47,64,56,2.04
Ambunti,PG,-4.22,142.82,73.59,100,80,2.04
Loukhi,RU,66.08,33.04,12.16,74,0,7.52
Glendive,US,47.11,-104.71,35.06,78,90,5.82
Quatre Cocos,MU,-20.21,57.76,71.6,94,75,8.05
Pimentel,PE,-6.84,-79.94,66.2,29,0,16.11
Inuvik,CA,68.36,-133.71,5.0,84,90,4.7
Longyearbyen,SJ,78.22,15.64,17.6,67,75,11.41
Nemuro,JP,43.32,145.57,50.64,90,92,21.5
Laukaa,FI,62.42,25.95,19.4,92,90,5.82
Palafrugell,ES,41.92,3.16,46.4,93,0,3.49
Palauig,PH,15.44,119.9,72.96,100,0,3.15
Tual,ID,-5.67,132.75,84.16,100,68,12.44
Tilichiki,RU,60.47,166.1,-27.8,43,8,3.38
Luganville,VU,-15.51,167.18,81.1,100,8,5.06
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,12.2,66,88,8.95
Launceston,AU,-41.43,147.14,51.8,93,90,9.17
Brownwood,US,31.71,-98.99,59.18,29,1,11.41
Natal,BR,-5.81,-35.21,87.8,62,40,21.92
Santa Helena de Goias,BR,-17.81,-50.6,86.23,62,12,9.64
Vila do Maio,CV,15.13,-23.22,82.4,54,20,17.22
Brigantine,US,39.41,-74.36,44.06,57,90,14.99
Necochea,AR,-38.55,-58.74,72.82,75,76,8.08
Kabinda,CD,-6.14,24.49,70.03,97,20,3.15
Omsukchan,RU,62.53,155.8,-38.51,0,32,2.48
San Rafael,AR,-34.61,-68.33,76.78,41,0,8.41
Radchenko,RU,56.68,36.37,23.19,95,76,6.96
Winnemucca,US,40.97,-117.74,38.94,27,80,3.38
Shugurovo,RU,54.51,52.13,15.76,83,64,3.6
Fatehpur,PK,31.18,71.21,60.67,89,64,2.93
Dudinka,RU,69.41,86.18,-22.49,33,24,3.38
Shakhtinsk,KZ,49.71,72.59,15.8,78,0,8.95
Puerto Escondido,MX,15.86,-97.07,86.0,62,20,5.82
Upata,VE,8.02,-62.41,79.48,85,80,7.74
Ndjole,GA,-0.18,10.76,73.32,97,48,2.48
La Romana,DO,18.43,-68.97,87.8,62,40,9.17
Nipawin,CA,53.36,-104.02,12.2,85,40,11.41
Erzin,RU,50.26,95.16,-12.37,49,24,2.48
Port-Cartier,CA,50.03,-66.88,35.6,69,75,10.29
Dukat,RU,62.55,155.55,-38.15,0,24,2.59
Rodna,RO,47.42,24.82,29.08,90,92,2.71
Wuwei,CN,37.93,102.64,16.03,49,20,3.04
Bambous Virieux,MU,-20.34,57.76,73.4,100,75,12.75
Sibenik,HR,45.81,17.18,33.49,93,92,9.42
Znamenskoye,RU,57.13,73.82,15.76,84,80,5.39
Mitsamiouli,KM,-11.38,43.28,82.4,74,20,10.29
Amahai,ID,-3.31,129.0,82.99,100,44,6.51
Qaqortoq,GL,60.72,-46.03,30.25,84,0,3.6
Lashio,MM,22.93,97.75,54.42,86,0,1.7
Hornepayne,CA,49.22,-84.78,19.9,72,76,4.94
Ushtobe,KZ,45.25,77.98,33.85,99,92,8.41
Jiamusi,CN,46.81,130.37,15.22,64,24,11.43
Delijan,IR,33.99,50.69,26.47,85,0,2.37
Kalianget,ID,-7.35,109.91,68.82,95,44,2.37
Salinas,EC,0.49,-78.13,51.8,100,90,1.92
Prince George,CA,53.92,-122.75,35.6,100,90,5.82
Dingzhou,CN,38.51,115.0,30.2,74,0,2.24
Ossora,RU,59.24,163.07,8.47,100,36,6.17
Lengshuijiang,CN,27.66,111.45,42.36,83,0,2.37
Cukai,MY,4.25,103.42,78.8,94,56,1.36
Aban,RU,56.67,96.06,0.24,63,64,3.49
Cap Malheureux,MU,-19.98,57.61,71.6,94,75,8.05
Conde,BR,-11.81,-37.61,81.87,74,100,10.09
Adrar,DZ,27.87,-0.29,73.4,25,40,18.34
Puno,PE,-15.84,-70.03,59.05,46,56,5.95
Qaanaaq,GL,77.48,-69.36,-2.92,100,68,11.43
Boyolangu,ID,-8.09,111.9,70.75,99,80,2.71
San Andres,CO,8.22,-76.58,87.8,70,40,9.17
Nishihara,JP,35.74,139.53,57.2,82,20,5.82
Kloulklubed,PW,7.04,134.26,78.8,88,75,6.93
Panguna,PG,-6.32,155.48,73.32,84,12,1.7
Isoka,ZM,-10.15,32.64,63.51,85,24,3.6
Noshiro,JP,40.21,140.05,55.54,100,92,24.52
Lavrentiya,RU,65.58,-170.99,25.21,100,92,23.17
Giddarbaha,IN,30.21,74.66,61.89,90,92,2.71
Zhangye,CN,38.94,100.46,20.67,52,0,3.71
Xinglongshan,CN,43.96,125.47,19.4,24,0,6.71
Monteagudo,BO,-19.8,-63.96,86.0,51,75,4.7
Itarema,BR,-2.92,-39.92,89.47,59,56,16.58
Iwanai,JP,42.97,140.51,44.92,100,88,22.73
Salvador,BR,-12.98,-38.48,84.2,74,75,10.29
